"","V2","V3","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"TCGA-A1-A0SF-01",48.06,0,0.0156689710232148,0.0151308823049106,-0.0347527727960876,-0.00374022966761067,0.012579466830313,0.0178385351765242,0.0236640537350457,-0.0112119154675593,0.0153272781142889,0.0229973274680648,-0.0455227406489841,0.00687029431613253,0.0116415527981378,-0.0430437687663234,0.00584700293740068,0.0160748572368978,0.0319215657345296
"TCGA-A1-A0SG-01",14.26,0,0.0049291896893261,0.0607622659804669,-0.0268772309765386,-0.0397490746699476,0.0537370099799065,0.0144637120883974,0.0230990647989045,-0.00745596796045025,-0.00740438379341126,0.0650152392316058,0.0535365560932,-0.0117900652427678,0.0562532142653803,0.108812275377454,0.00345462294348754,-0.0381527489035073,0.0147359663774289
"TCGA-A1-A0SH-01",47.21,0,-0.000655550400206671,-0.00110202559992786,-0.0147991652637347,-0.0192700107014762,-0.00207595585409858,0.0110256639736038,-0.00585570377475512,0.00721111737282529,-0.0212696739921193,-0.0149513003260168,-0.0187782005747269,-0.0162749526913348,0.0202178439433042,-0.00551101833752503,0.0130248597741496,0.00810235618081368,-0.0051550841708491
"TCGA-A1-A0SI-01",20.86,0,0.0153656653312894,0.0324140044880766,-0.0269464450753711,-0.019231172261028,0.0319257697731501,0.0127547352474334,0.00935054908682577,-0.0159941755944923,0.00826768239989277,0.0329222875130383,0.0347980651734588,0.00648767252386375,0.0326565144825308,0.074499747186227,-0.0137836974678827,0.0390564533285205,0.0121483109817294
"TCGA-A1-A0SJ-01",13.67,0,-0.0295545866866576,-0.0222648059296307,0.0104875031794193,0.0194222242991044,-0.0308907852560526,-0.000825591160521338,0.00371267873624524,-0.00299331554920806,-0.0366054297144421,-0.0269685410665483,-0.0257312923394436,-0.0336872789826212,-0.0346173681680559,-0.0217822366634655,0.00584598130669738,-0.0160418989124915,-0.018092993992702
"TCGA-A1-A0SK-01",31.77,1,0.112996073184711,0.0126881152808183,-0.0114308254984349,-0.0472277499791928,-0.0247782967876071,0.064633937674781,-0.00139221407509146,0.0216249533324023,0.0760628311955579,-0.0308296906979998,0.0340277160788337,0.0744971030118067,-0.0693319661405838,0.0772911168805137,0.018809996104601,0.00560435703773303,0.138433673111513
"TCGA-A1-A0SM-01",7.95,0,-0.0459917383953878,-0.0579045130355115,0.0168340939030915,0.0389302433633178,-0.0431909844271875,-0.00657208074548632,-0.0189439793296373,-0.00777103800403821,-0.0390162981876103,-0.044709842561261,-0.0483770154701517,-0.0408723238929033,-0.045602456803831,-0.0404600248084746,0.00122477926500345,-0.0584744138572401,-0.0411251739360414
"TCGA-A1-A0SN-01",39.29,0,-0.0210334880647839,-0.0400975582887112,-0.0244491086378485,0.0669298062709097,-0.0209578467475425,-0.0131284617210312,0.00274747931427146,-0.0153253722771257,0.0408986954410644,-0.0290146763956897,-0.0231877105315086,0.0212324526175971,-0.0051670352105279,0.0260168747794332,-0.012222026572356,-0.0325313892054497,-0.0264308470020196
"TCGA-A1-A0SO-01",27.99,0,-0.0231060188550141,-0.0300408517438556,0.00367268710427837,-0.00964510728665161,-0.0447832054293411,0.00255768713584812,-0.0445148601897282,0.00909982455061671,-0.0262171536935792,-0.0395925146720044,0.0150457670943067,-0.00772400474943248,-0.0970218651295608,0.032199172781314,-0.0093958239080016,-0.0669608419531552,-0.0571595127326731
"TCGA-A1-A0SP-01",19.19,0,0.0376516117133996,0.0124039585857484,-0.0141406643013807,-0.0120143014989969,-0.0240510012808799,-0.0161709016651515,-0.0257485445282571,0.0304369553739309,0.00359600234465041,0.0112769572763681,0.0216070466550633,0.0197137974530755,-0.0219876143599185,-0.0180048155613116,0.00713229495912347,-0.000810637154030959,6.76450643368092e-05
